,Posição,PTS,J,V,E,D,GP,GC,SG,CA,CV,Recentes
0,1º Palmeiras - SP,51,25,14,9,2,41,18,23,52,3,E  E  E
1,2º Flamengo - RJ,44,25,13,5,7,40,21,19,57,2,E  V  E
2,3º Corinthians - SP,43,25,12,7,6,29,24,5,51,3,D  V  E
3,4º Internacional - RS,43,25,11,10,4,40,25,15,69,5,V  V  E
4,5º Fluminense - RJ,42,25,12,6,7,38,29,9,61,6,V  E  D
5,6º Athletico Paranaense - PR,42,25,12,6,7,30,28,2,65,1,E  E  V
6,7º Atlético Mineiro - MG,40,26,10,10,6,34,29,5,60,1,E  V  E
7,8º América Fc Saf - MG,35,25,10,5,10,22,25,-3,53,5,E  E  V
8,9º Goiás - GO,35,25,9,8,8,28,31,-3,73,5,V  V  V
9,10º Santos - SP,34,25,8,10,7,28,22,6,65,4,V  E  D
10,11º Red Bull Bragantino - SP,33,26,8,9,9,36,33,3,65,5,D  E  E
11,12º Fortaleza - CE,30,25,8,6,11,23,26,-3,61,6,V  V  D
12,13º Botafogo - RJ,30,25,8,6,11,25,30,-5,65,6,E  D  V
13,14º São Paulo - SP,30,25,6,12,7,32,30,2,70,5,D  D  E
14,15º Ceará - CE,28,25,5,13,7,24,25,-1,80,6,E  E  E
15,16º Cuiabá Saf - MT,26,25,6,8,11,17,24,-7,54,8,E  E  E
16,17º Coritiba - PR,25,25,7,4,14,26,41,-15,68,9,D  V  D
17,18º Avaí - SC,24,25,6,6,13,24,38,-14,72,4,D  D  E
18,19º Atlético - GO,22,25,5,7,13,23,38,-15,63,4,E  D  D
19,20º Juventude - RS,18,25,3,9,13,19,42,-23,73,8,E  D  E
